type,region,thread,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38
bb_id,123,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,124,0,26,26,26,3348483,26,26,26,26,1703936,1703936,1338465,312,312,286,145,,,,,,,,,,,,,,,,,,,,,,,
csv,124,0,99790091,99790092,99790357,100000006,97360183,97360184,99790078,99790081,99790047,99790075,99790070,99790345,99790355,99790337,99790351,,,,,,,,,,,,,,,,,,,,,,,
bb_id,124,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,125,0,25,25,25,3388813,26,26,25,25,1691719,1691718,1329277,300,300,275,155,,,,,,,,,,,,,,,,,,,,,,,
csv,125,0,96578196,96578197,96578462,98020254,98020257,98020258,96578183,96578186,99999981,99999967,100000004,96578450,96578460,96578442,96578456,,,,,,,,,,,,,,,,,,,,,,,
bb_id,125,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,126,0,26,26,26,3407872,26,26,26,26,1686845,1686845,1324174,312,312,286,169,,,,,,,,,,,,,,,,,,,,,,,
csv,126,0,97216982,97216983,97217236,98659028,98659031,98659032,97216969,97216972,99999984,99999970,100000007,97217224,97217234,97217216,97217230,,,,,,,,,,,,,,,,,,,,,,,
bb_id,126,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,127,0,26,26,26,3407872,26,26,26,26,1685876,1685876,1324972,312,312,286,179,,,,,,,,,,,,,,,,,,,,,,,
csv,127,0,97882550,97882551,97882816,99324608,99324611,99324612,97882537,97882540,100000010,99999996,99999972,97882804,97882814,97882796,97882810,,,,,,,,,,,,,,,,,,,,,,,
bb_id,127,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,128,0,26,26,26,3407872,26,26,26,26,1686730,1686730,1324264,312,312,286,188,,,,,,,,,,,,,,,,,,,,,,,
csv,128,0,98522232,98522233,98522480,99964272,99964275,99964276,98522219,98522222,99999983,99999969,100000006,98522468,98522478,98522460,98522474,,,,,,,,,,,,,,,,,,,,,,,
bb_id,128,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,129,0,26,26,26,3353459,25,25,26,26,1702974,1702975,1336879,312,312,286,148,,,,,,,,,,,,,,,,,,,,,,,
csv,129,0,99156490,99156491,99156756,100000005,96730975,96730976,99156477,99156480,99156446,99156474,99156469,99156744,99156754,99156736,99156750,,,,,,,,,,,,,,,,,,,,,,,
bb_id,129,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,130,0,26,26,26,3349504,26,26,26,26,1703936,1703936,1337972,312,312,286,162,,,,,,,,,,,,,,,,,,,,,,,
csv,130,0,99798539,99798540,99798799,100000000,97368102,97368103,99798526,99798529,99798495,99798523,99798518,99798787,99798797,99798779,99798793,,,,,,,,,,,,,,,,,,,,,,,
bb_id,130,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,131,0,25,25,25,3389581,26,26,25,25,1691528,1691527,1329066,300,300,275,161,,,,,,,,,,,,,,,,,,,,,,,
csv,131,0,96590711,96590712,96590971,98032763,98032766,98032767,96590698,96590701,100000006,99999992,99999968,96590959,96590969,96590951,96590965,,,,,,,,,,,,,,,,,,,,,,,
bb_id,131,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,132,0,26,26,26,3407872,26,26,26,26,1686450,1686450,1324497,312,312,286,181,,,,,,,,,,,,,,,,,,,,,,,
csv,132,0,97236627,97236628,97236899,98678691,98678694,98678695,97236614,97236617,99999980,99999966,100000003,97236887,97236897,97236879,97236893,,,,,,,,,,,,,,,,,,,,,,,
bb_id,132,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,133,0,26,26,26,3407872,26,26,26,26,1685907,1685907,1324943,312,312,286,191,,,,,,,,,,,,,,,,,,,,,,,
csv,133,0,97908413,97908414,97908673,99350465,99350468,99350469,97908400,97908403,99999981,99999967,100000004,97908661,97908671,97908653,97908667,,,,,,,,,,,,,,,,,,,,,,,
bb_id,133,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,134,0,26,26,26,3407757,25,25,26,26,1686323,1686324,1324658,312,312,286,177,,,,,,,,,,,,,,,,,,,,,,,
csv,134,0,98559200,98559201,98559478,100000005,96125865,96125866,98559187,98559190,98559156,98559184,98559179,98559466,98559476,98559458,98559472,,,,,,,,,,,,,,,,,,,,,,,
bb_id,134,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,135,0,26,26,26,3349370,26,26,26,26,1703936,1703936,1338030,312,312,286,187,,,,,,,,,,,,,,,,,,,,,,,
csv,135,0,99202733,99202734,99203005,100000010,96773791,96773792,99202720,99202723,99202689,99202717,99202712,99202993,99203003,99202985,99202999,,,,,,,,,,,,,,,,,,,,,,,
bb_id,135,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,136,0,26,26,26,3348697,26,26,26,26,1703936,1703936,1338350,312,312,286,193,,,,,,,,,,,,,,,,,,,,,,,
csv,136,0,99853651,99853652,99853923,100000003,97424663,97424664,99853638,99853641,99853630,99853635,99853611,99853911,99853921,99853903,99853917,,,,,,,,,,,,,,,,,,,,,,,
bb_id,136,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,137,0,25,25,25,3394592,26,26,25,25,1690102,1690101,1327837,300,300,275,200,,,,,,,,,,,,,,,,,,,,,,,
csv,137,0,96640994,96640995,96641266,98083058,98083061,98083062,96640981,96640984,99999977,99999963,100000000,96641254,96641264,96641246,96641260,,,,,,,,,,,,,,,,,,,,,,,
bb_id,137,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,138,0,26,26,26,3407872,26,26,26,26,1686614,1686614,1324356,312,312,286,202,,,,,,,,,,,,,,,,,,,,,,,
csv,138,0,97283346,97283347,97283600,98725392,98725395,98725396,97283333,97283336,99999979,99999965,100000002,97283588,97283598,97283580,97283594,,,,,,,,,,,,,,,,,,,,,,,
bb_id,138,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,139,0,26,26,26,3407872,26,26,26,26,1686635,1686636,1324352,312,312,286,150,,,,,,,,,,,,,,,,,,,,,,,
csv,139,0,97925303,97925304,97925551,99367343,99367346,99367347,97925290,97925293,99999974,100000002,99999997,97925539,97925549,97925531,97925545,,,,,,,,,,,,,,,,,,,,,,,
bb_id,139,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,140,0,26,26,26,3407641,25,25,26,26,1686857,1686857,1324276,312,312,286,164,,,,,,,,,,,,,,,,,,,,,,,
csv,140,0,98560489,98560490,98560755,100000006,96126142,96126143,98560476,98560479,98560445,98560473,98560468,98560743,98560753,98560735,98560749,,,,,,,,,,,,,,,,,,,,,,,
bb_id,140,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,141,0,26,26,26,3349176,26,26,26,26,1703936,1703936,1338128,312,312,286,166,,,,,,,,,,,,,,,,,,,,,,,
csv,141,0,99206149,99206150,99206409,100000004,96779530,96779531,99206136,99206139,99206105,99206133,99206128,99206397,99206407,99206389,99206403,,,,,,,,,,,,,,,,,,,,,,,
bb_id,141,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,142,0,26,26,26,3349126,26,26,26,26,1703936,1703936,1338147,312,312,286,185,,,,,,,,,,,,,,,,,,,,,,,
csv,142,0,99852344,99852345,99852616,100000005,97428600,97428601,99852331,99852334,99852323,99852328,99852304,99852604,99852614,99852596,99852610,,,,,,,,,,,,,,,,,,,,,,,
bb_id,142,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,143,0,25,25,25,3394473,26,26,25,25,1690387,1690386,1327664,300,300,275,181,,,,,,,,,,,,,,,,,,,,,,,
csv,143,0,96631113,96631114,96631379,98073171,98073174,98073175,96631100,96631103,100000013,99999999,99999994,96631367,96631377,96631359,96631373,,,,,,,,,,,,,,,,,,,,,,,
bb_id,143,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,144,0,26,26,26,3407872,26,26,26,26,1686544,1686544,1324421,312,312,286,175,,,,,,,,,,,,,,,,,,,,,,,
csv,144,0,97274865,97274866,97275125,98716917,98716920,98716921,97274852,97274855,100000005,99999991,99999986,97275113,97275123,97275105,97275119,,,,,,,,,,,,,,,,,,,,,,,
bb_id,144,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,145,0,26,26,26,3407872,26,26,26,26,1686124,1686124,1324764,312,312,286,193,,,,,,,,,,,,,,,,,,,,,,,
csv,145,0,97936396,97936397,97936674,99378466,99378469,99378470,97936383,97936386,99999999,99999985,100000022,97936662,97936672,97936654,97936668,,,,,,,,,,,,,,,,,,,,,,,
bb_id,145,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,146,0,26,26,26,3406920,25,25,26,26,1687153,1687154,1324369,312,312,286,191,,,,,,,,,,,,,,,,,,,,,,,
csv,146,0,98568413,98568414,98568685,100000005,96139954,96139955,98568400,98568403,98568369,98568397,98568392,98568673,98568683,98568665,98568679,,,,,,,,,,,,,,,,,,,,,,,
bb_id,146,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,147,0,26,26,26,3348107,26,26,26,26,1703936,1703936,1338627,312,312,286,213,,,,,,,,,,,,,,,,,,,,,,,
csv,147,0,99225815,99225816,99226099,100000004,96795815,96795816,99225802,99225805,99225771,99225799,99225794,99226087,99226097,99226079,99226093,,,,,,,,,,,,,,,,,,,,,,,
bb_id,147,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,148,0,26,26,26,3350122,26,26,26,26,1703936,1703936,1337667,312,312,286,199,,,,,,,,,,,,,,,,,,,,,,,
csv,148,0,99861090,99861091,99861350,100000005,97437277,97437278,99861077,99861080,99861069,99861074,99861031,99861338,99861348,99861330,99861344,,,,,,,,,,,,,,,,,,,,,,,
bb_id,148,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,149,0,25,25,25,3395267,26,26,25,25,1690021,1690020,1327589,300,300,275,170,,,,,,,,,,,,,,,,,,,,,,,
csv,149,0,96643950,96643951,96644210,98086002,98086005,98086006,96643937,96643940,99999979,99999965,100000002,96644198,96644208,96644190,96644204,,,,,,,,,,,,,,,,,,,,,,,
bb_id,149,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,150,0,26,26,26,3407872,26,26,26,26,1686442,1686442,1324500,312,312,286,195,,,,,,,,,,,,,,,,,,,,,,,
csv,150,0,97292898,97292899,97293170,98734962,98734965,98734966,97292885,97292888,100000004,99999990,99999966,97293158,97293168,97293150,97293164,,,,,,,,,,,,,,,,,,,,,,,
bb_id,150,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,151,0,26,26,26,3407872,26,26,26,26,1686138,1686138,1324752,312,312,286,191,,,,,,,,,,,,,,,,,,,,,,,
csv,151,0,97951791,97951792,97952063,99393855,99393858,99393859,97951778,97951781,100000000,99999986,99999962,97952051,97952061,97952043,97952057,,,,,,,,,,,,,,,,,,,,,,,
bb_id,151,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,152,0,26,26,26,3402771,25,25,26,26,1687607,1687608,1325973,312,312,286,212,,,,,,,,,,,,,,,,,,,,,,,
csv,152,0,98614063,98614064,98614329,100000010,96182039,96182040,98614050,98614053,98614019,98614047,98614042,98614317,98614327,98614309,98614323,,,,,,,,,,,,,,,,,,,,,,,
bb_id,152,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,153,0,26,26,26,3347432,26,26,26,26,1703936,1703936,1338951,312,312,286,209,,,,,,,,,,,,,,,,,,,,,,,
csv,153,0,99278900,99278901,99279166,100000007,96847382,96847383,99278887,99278890,99278856,99278884,99278879,99279154,99279164,99279146,99279160,,,,,,,,,,,,,,,,,,,,,,,
bb_id,153,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,154,0,26,26,26,3348006,26,26,26,26,1703936,1703936,1338678,312,312,286,203,,,,,,,,,,,,,,,,,,,,,,,
csv,154,0,99937425,99937426,99937691,100000006,97506068,97506069,99937412,99937415,99937381,99937409,99937404,99937679,99937689,99937671,99937685,,,,,,,,,,,,,,,,,,,,,,,
bb_id,154,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,155,0,25,25,25,3402207,26,26,25,25,1688176,1688175,1325782,300,300,275,216,,,,,,,,,,,,,,,,,,,,,,,
csv,155,0,96711204,96711205,96711488,98153280,98153283,98153284,96711191,96711194,100000002,99999988,99999983,96711476,96711486,96711468,96711482,,,,,,,,,,,,,,,,,,,,,,,
bb_id,155,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,156,0,26,26,26,3407872,26,26,26,26,1686366,1686366,1324557,312,312,286,217,,,,,,,,,,,,,,,,,,,,,,,
csv,156,0,97363125,97363126,97363409,98805201,98805204,98805205,97363112,97363115,100000003,99999989,99999965,97363397,97363407,97363389,97363403,,,,,,,,,,,,,,,,,,,,,,,
bb_id,156,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,157,0,26,26,26,3407872,26,26,26,26,1686290,1686290,1324615,312,312,286,237,,,,,,,,,,,,,,,,,,,,,,,
csv,157,0,98018828,98018829,98019106,99460898,99460901,99460902,98018815,98018818,100000013,99999999,99999975,98019094,98019104,98019086,98019100,,,,,,,,,,,,,,,,,,,,,,,
bb_id,157,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,158,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,1835008,14,14,15,15,968480,968481,760209,168,168,154,143,1
csv,158,0,56075304,56075436,56075312,56075316,56075324,56075328,56075336,56075340,56075348,56075352,56075360,56075364,56075372,56075376,56075384,56075388,56075396,56075400,56075408,56075412,56075420,56075426,52203357,52203358,52203653,53645445,53645448,53645449,56075297,56075300,56075266,56075294,56075289,52203641,52203651,52203633,52203647,56075437
bb_id,158,0,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,66
