type,region,thread,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38
bbv,40,0,26,26,26,3349523,26,26,26,26,1703936,1703936,1338001,286,286,260,99,,,,,,,,,,,,,,,,,,,,,,,
csv,40,0,99524300,99524301,99524529,100000004,97095772,97095773,99524287,99524290,99524279,99524284,99524260,99524517,99524527,99524509,99524523,,,,,,,,,,,,,,,,,,,,,,,
bb_id,40,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,41,0,25,25,25,3364647,26,26,25,25,1698677,1698676,1335119,275,275,250,113,,,,,,,,,,,,,,,,,,,,,,,
csv,41,0,96321725,96321726,96321960,97763752,97763755,97763756,96321712,96321715,99999996,99999982,100000019,96321948,96321958,96321940,96321954,,,,,,,,,,,,,,,,,,,,,,,
bb_id,41,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,42,0,26,26,26,3407872,26,26,26,26,1685590,1685590,1325247,286,286,260,113,,,,,,,,,,,,,,,,,,,,,,,
csv,42,0,97001928,97001929,97002163,98443955,98443958,98443959,97001915,97001918,99999988,99999974,100000011,97002151,97002161,97002143,97002157,,,,,,,,,,,,,,,,,,,,,,,
bb_id,42,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,43,0,26,26,26,3407872,26,26,26,26,1686029,1686029,1324879,286,286,260,134,,,,,,,,,,,,,,,,,,,,,,,
csv,43,0,97668770,97668771,97668999,99110791,99110794,99110795,97668757,97668760,99999991,99999977,100000014,97668987,97668997,97668979,97668993,,,,,,,,,,,,,,,,,,,,,,,
bb_id,43,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,44,0,26,26,26,3407872,26,26,26,26,1686486,1686486,1324502,286,286,260,131,,,,,,,,,,,,,,,,,,,,,,,
csv,44,0,98315506,98315507,98315735,99757527,99757530,99757531,98315493,98315496,99999985,99999971,100000008,98315723,98315733,98315715,98315729,,,,,,,,,,,,,,,,,,,,,,,
bb_id,44,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,45,0,26,26,26,3372843,25,25,26,26,1697362,1697363,1332272,286,286,260,125,,,,,,,,,,,,,,,,,,,,,,,
csv,45,0,98943306,98943307,98943535,100000008,96512708,96512709,98943293,98943296,98943262,98943290,98943285,98943523,98943533,98943515,98943529,,,,,,,,,,,,,,,,,,,,,,,
bb_id,45,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,46,0,26,26,26,3349854,26,26,26,26,1703936,1703936,1337830,286,286,260,148,,,,,,,,,,,,,,,,,,,,,,,
csv,46,0,99581484,99581485,99581731,100000006,97156452,97156453,99581471,99581474,99581440,99581468,99581463,99581719,99581729,99581711,99581725,,,,,,,,,,,,,,,,,,,,,,,
bb_id,46,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,47,0,25,25,25,3369847,26,26,25,25,1698164,1698163,1333051,275,275,250,132,,,,,,,,,,,,,,,,,,,,,,,
csv,47,0,96343446,96343447,96343693,97785485,97785488,97785489,96343433,96343436,99999999,99999985,100000022,96343681,96343691,96343673,96343687,,,,,,,,,,,,,,,,,,,,,,,
bb_id,47,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,48,0,26,26,26,3407872,26,26,26,26,1686764,1686764,1324265,286,286,260,159,,,,,,,,,,,,,,,,,,,,,,,
csv,48,0,96980366,96980367,96980607,98422399,98422402,98422403,96980353,96980356,99999984,99999970,100000007,96980595,96980605,96980587,96980601,,,,,,,,,,,,,,,,,,,,,,,
bb_id,48,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,49,0,26,26,26,3407872,26,26,26,26,1686869,1686869,1324182,286,286,260,145,,,,,,,,,,,,,,,,,,,,,,,
csv,49,0,97611122,97611123,97611357,99053149,99053152,99053153,97611109,97611112,99999986,99999972,100000009,97611345,97611355,97611337,97611351,,,,,,,,,,,,,,,,,,,,,,,
bb_id,49,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,50,0,26,26,26,3407872,26,26,26,26,1686370,1686370,1324600,286,286,260,125,,,,,,,,,,,,,,,,,,,,,,,
csv,50,0,98263531,98263532,98263766,99705558,99705561,99705562,98263518,98263521,99999999,99999985,100000022,98263754,98263764,98263746,98263760,,,,,,,,,,,,,,,,,,,,,,,
bb_id,50,0,47,48,49,50,51,53,54,55,57,58,59,61,62,63,64,,,,,,,,,,,,,,,,,,,,,,,
bbv,51,0,26,26,26,3375844,25,25,26,26,1695977,1695978,1331974,286,286,260,151,,,,,,,,,,,,,,,,,,,,,,,
csv,51,0,98910269,98910270,98910522,100000006,96483742,96483743,98910256,98910259,98910225,98910253,98910248,98910510,98910520,98910502,98910516,,,,,,,,,,,,,,,,,,,,,,,
