machine,input_size,benchmark,rid,run_id,runtime(ns)
summer,A,lu_A,706,1,7158618
summer,A,lu_A,706,2,7132350
summer,A,lu_A,706,0,7027284
summer,A,lu_A,706,4,7139929
summer,A,lu_A,706,3,7159891
summer,A,lu_A,591,1,7236605
summer,A,lu_A,591,2,7251685
summer,A,lu_A,591,0,7262551
summer,A,lu_A,591,4,7215433
summer,A,lu_A,591,3,7235842
summer,A,lu_A,1261,0,8370617
summer,A,lu_A,1261,3,8465468
summer,A,lu_A,1261,4,8644190
summer,A,lu_A,1261,1,8839296
summer,A,lu_A,1261,2,7781116
summer,A,lu_A,317,0,7412198
summer,A,lu_A,317,3,7430836
summer,A,lu_A,317,4,7295804
summer,A,lu_A,317,1,7757362
summer,A,lu_A,317,2,7868840
summer,A,lu_A,1018,2,7537275
summer,A,lu_A,1018,1,7548746
summer,A,lu_A,1018,4,7673814
summer,A,lu_A,1018,3,7564842
summer,A,lu_A,1018,0,7472126
summer,A,lu_A,1481,1,8065686
summer,A,lu_A,1481,2,8058393
summer,A,lu_A,1481,0,8034291
summer,A,lu_A,1481,3,7961376
summer,A,lu_A,1481,4,8033879
summer,A,lu_A,839,1,7400222
summer,A,lu_A,839,2,7359012
summer,A,lu_A,839,0,7352955
summer,A,lu_A,839,4,7379012
summer,A,lu_A,839,3,7376282
summer,A,lu_A,426,0,6830321
summer,A,lu_A,426,3,7056891
summer,A,lu_A,426,4,7070570
summer,A,lu_A,426,1,7039695
summer,A,lu_A,426,2,7060522
summer,A,lu_A,49,3,7148319
summer,A,lu_A,49,4,6884782
summer,A,lu_A,49,0,7002962
summer,A,lu_A,49,2,7130606
summer,A,lu_A,49,1,6957411
summer,A,lu_A,545,4,8700974
summer,A,lu_A,545,3,7991834
summer,A,lu_A,545,0,8506409
summer,A,lu_A,545,2,8789555
summer,A,lu_A,545,1,7873327
summer,A,lu_A,442,2,7017773
summer,A,lu_A,442,1,6918165
summer,A,lu_A,442,4,6971681
summer,A,lu_A,442,3,6975725
summer,A,lu_A,442,0,6984072
summer,A,lu_A,1399,2,7823149
summer,A,lu_A,1399,1,7888221
summer,A,lu_A,1399,4,7813934
summer,A,lu_A,1399,3,7616915
summer,A,lu_A,1399,0,7777937
summer,A,lu_A,589,0,8258650
summer,A,lu_A,589,3,9012451
summer,A,lu_A,589,4,9261293
summer,A,lu_A,589,1,8150864
summer,A,lu_A,589,2,8245075
summer,A,lu_A,1013,4,7188074
summer,A,lu_A,1013,3,7039001
summer,A,lu_A,1013,0,7139409
summer,A,lu_A,1013,2,7434023
summer,A,lu_A,1013,1,7102089
summer,A,lu_A,1572,2,8415529
summer,A,lu_A,1572,1,8360766
summer,A,lu_A,1572,4,8721680
summer,A,lu_A,1572,3,8331495
summer,A,lu_A,1572,0,8696626
summer,A,lu_A,574,0,7218640
summer,A,lu_A,574,3,7099559
summer,A,lu_A,574,4,7217549
summer,A,lu_A,574,1,7106083
summer,A,lu_A,574,2,7237348
summer,A,lu_A,198,2,7240194
summer,A,lu_A,198,1,7057418
summer,A,lu_A,198,3,7259252
summer,A,lu_A,198,4,7255599
summer,A,lu_A,198,0,7242657
summer,A,lu_A,642,2,7300636
summer,A,lu_A,642,1,7198907
summer,A,lu_A,642,4,7242764
summer,A,lu_A,642,3,7004679
summer,A,lu_A,642,0,7166320
summer,A,lu_A,296,3,7041078
summer,A,lu_A,296,4,7159519
summer,A,lu_A,296,0,7042261
summer,A,lu_A,296,2,7085755
summer,A,lu_A,296,1,7018240
summer,A,lu_A,1026,1,7281922
summer,A,lu_A,1026,2,7499773
summer,A,lu_A,1026,0,7476731
